lat,lon,reported_date,reported_by,address,city,zip,addressline,country
40.55654,-3.63523,03/23/10 23:25:57,web,Av de Antonio Machado| 3-39| 28702 San Sebastián de los Reyes| Spain,san sebastián de los reyes,28702,Av de Antonio Machado| 3-39,España
40.38474,-3.78359,03/24/10 00:12:20,web,Paseo de Extremadura| 404| 28024 Madrid| Spain,madrid,28024,Paseo de Extremadura| 404,España
-31.63352,-60.70062,03/24/10 01:42:21,web,Pedro Vittori 3702-3800| Santa Fe| Argentina,santa fe,,Pedro Vittori,España
40.44912,-3.77734,03/24/10 13:11:46,web,Carretera de Húmera| 28023 Madrid| Spain,madrid,28023,Carretera de Húmera,España
37.39974,-5.94456,03/24/10 13:32:17,web,Av del Alcalde Luis Uruñuela| 41020 Seville| Spain,sevilla,41020,Av del Alcalde Luis Uruñuela,España
40.41432,-3.70748,03/24/10 15:12:20,web,Calle Imperial| 18| 28012 Madrid| Spain,madrid,28012,Calle Imperial| 18,España
40.39464,-3.73867,03/25/10 11:10:34,web,Calle Vía Carpetana| 103| 28047 Madrid| Spain,madrid,28047,Calle Vía Carpetana| 103,España
40.42702,-3.72355,03/25/10 12:36:43,web,Calle de Francisco y Jacinto Alcántara| 3| 28008 Madrid| Spain,madrid,28008,Calle de Francisco y Jacinto Alcántara| 3,España
41.57882,2.54524,03/25/10 13:12:27,web,Carrer del Hort del Bisbe| 1-66| 08350 Arenys de Mar| Spain,arenys de mar,08350,Carrer del Hort del Bisbe| 1-66,España
40.39908,-3.73018,03/25/10 18:25:42,web,Paseo de la Ermita del Santo| 76| 28019 Madrid| Spain,madrid,28019,Paseo de la Ermita del Santo| 76,España
40.42538,-3.72161,03/26/10 12:47:57,web,Calle de la Rosaleda| 1| 28008 Madrid| Spain,madrid,28008,Calle de la Rosaleda| 1,España
40.3048,-3.90306,03/23/10 18:28:47,web,Carretera de Madrid a Badajoz| 28935 Móstoles| Spain,móstoles,28935,Carretera de Madrid a Badajoz,España
40.42124,-3.70038,03/23/10 20:16:45,web,Calle de Hortaleza| 14-34| 28004 Madrid| Spain,madrid,28004,Calle de Hortaleza| 14-34,España
40.42326,-3.71086,03/23/10 23:38:31,web,Plaza de España| 28013 Madrid| Spain,madrid,28013,Plaza de España,España
40.37349,-3.72505,03/23/10 23:38:34,web,Av de los Poblados| 141| 28025 Madrid| Spain,madrid,28025,Av de los Poblados| 141,España
40.30597,-3.66428,03/24/10 00:30:29,web,Vereda de la Torrecilla| 28906 Getafe| Spain,getafe,28906,Vereda de la Torrecilla,España
40.32774,-3.88644,03/24/10 10:28:10,web,Calle de Joaquín Blume| 28935 Móstoles| Spain,móstoles,28935,Calle de Joaquín Blume,España
40.46474,-3.79267,03/24/10 13:13:01,web,A-6| 28023 Madrid| Spain,madrid,28023,A-6,España
40.43389,-3.53294,03/24/10 13:41:38,web,Av de San Pablo| 39-41| 28823 Coslada| Spain,coslada,28823,Av de San Pablo| 39-41,España
43.33444,-8.40799,03/24/10 14:12:30,web,Lugar Lamelas| 81B| 15008 Corunna| Spain,a coruña,15008,Lugar Lamelas| 81B,España
43.34303,-8.41109,03/24/10 14:13:13,web,Avenida de San Cristóbal| 41| 15008 Corunna| Spain,a coruña,15008,Avenida de San Cristóbal| 41,España
40.41995,-3.70108,03/24/10 16:07:52,iphone,Calle Gran Vía| 13-21| 28013 Madrid| Spain,madrid,28013,Calle Gran Vía| 13-21,España
40.4203,-3.7165,03/24/10 19:17:45,web,Cuesta de San Vicente| 26-28| 28008 Madrid| Spain,madrid,28008,Cuesta de San Vicente| 26-28,España
40.38711,-3.74519,03/25/10 11:14:17,web,Calle de Guabairo| 8| 28047 Madrid| Spain,madrid,28047,Calle de Guabairo| 8,España
43.22043,-2.69839,03/23/10 18:35:17,web,Amorebieta-Etxano| Spain,amorebieta,48340,Amorebieta-Etxano,España
40.42124,-3.70038,03/23/10 23:37:17,web,Calle de Hortaleza| 14-34| 28004 Madrid| Spain,madrid,28004,Calle de Hortaleza| 14-34,España
40.42933,-3.64353,03/23/10 23:38:24,web,Calle de Francisco Villaespesa| 16-20| 28017 Madrid| Spain,madrid,28017,Calle de Francisco Villaespesa| 16-20,España
40.40638,-3.73326,03/23/10 23:38:26,web,Calle de Turaco| 2| 28011 Madrid| Spain,madrid,28011,Calle de Turaco| 2,España
40.37346,-3.73299,03/23/10 23:38:32,web,Av de los Poblados| 110| 28025 Madrid| Spain,madrid,28025,Av de los Poblados| 110,España
40.41669,-3.70035,03/24/10 00:09:54,web,Palacio de Comunicaciones| 28014 Madrid| Spain,madrid,28014,Palacio de Comunicaciones,España
40.32277,-3.86574,03/24/10 10:12:51,web,Calle de Malasaña| 1| 28934 Móstoles| Spain,móstoles,28934,Calle de Malasaña| 1,España
40.39838,-3.73493,03/24/10 11:27:31,web,Calle Vía Carpetana| 51-55| 28047 Madrid| Spain,madrid,28047,Calle Vía Carpetana| 51-55,España
40.39838,-3.73493,03/24/10 14:04:42,web,Calle Vía Carpetana| 51-55| 28047 Madrid| Spain,madrid,28047,Calle Vía Carpetana| 51-55,España
40.47754,-3.68604,03/24/10 18:01:32,web,Paseo de la Castellana| 28046 Madrid| Spain,madrid,28046,Paseo de la Castellana,España
40.38014,-3.78503,03/24/10 20:40:31,web,Av de la Aviación| 28044 Madrid| Spain,madrid,28044,Av de la Aviación,España
40.41449,-3.70288,03/24/10 23:49:31,iphone,Plaza del Ángel| 3| 28012 Madrid| Spain,madrid,28012,Plaza del Ángel| 3,España
40.33356,-3.88139,03/25/10 11:47:38,web,Carretera de Extremadura| 28935 Móstoles| Spain,móstoles,28935,Carretera de Extremadura,España
40.42197,-3.71634,03/25/10 12:33:38,web,Calle de Irún| 11| 28008 Madrid| Spain,madrid,28008,Calle de Irún| 11,España
40.42206,-3.71309,03/26/10 12:47:39,web,Cuesta de San Vicente| 2| 28008 Madrid| Spain,madrid,28008,Cuesta de San Vicente| 2,España
